year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,new_court,offense_type_drug,offense_type_other,offense_type_person,offense_type_property,offense_type_sex,offense_type_violent,sex_female,sex_male,technical_violation_other,new_court_rate,offense_type_drug_rate,offense_type_other_rate,offense_type_person_rate,offense_type_property_rate,offense_type_sex_rate,offense_type_violent_rate,sex_female_rate,sex_male_rate,technical_violation_other_rate
1992,5,9,Brown,8,Central,Mostly Urban,41.1,7452,4,1,3,NA,NA,NA,NA,NA,4,NA,53.7,13.4,40.3,NA,NA,NA,NA,NA,53.7,NA
1992,6,11,Bureau,13,Central,Mostly Rural,57.4,44556,71,37,1,8,18,7,15,3,68,NA,159.4,83,2.2,18,40.4,15.7,33.7,6.7,152.6,NA
1992,7,13,Calhoun,8,Southern,Completely Rural,100,6423,4,NA,NA,1,3,NA,1,NA,4,NA,62.3,NA,NA,15.6,46.7,NA,15.6,NA,62.3,NA
1992,8,15,Carroll,15,Northern - Other,Mostly Rural,81.9,20518,17,2,NA,3,12,NA,3,2,15,2,82.9,9.7,NA,14.6,58.5,NA,14.6,9.7,73.1,9.7
1992,9,17,Cass,8,Central,Mostly Rural,52.1,16684,3,NA,NA,1,2,NA,1,NA,3,1,18,NA,NA,6,12,NA,6,NA,18,6
1992,10,19,Champaign,6,Central,Mostly Urban,12.7,214875,252,42,4,55,138,13,67,23,229,2,117.3,19.5,1.9,25.6,64.2,6.1,31.2,10.7,106.6,0.9
1992,11,21,Christian,4,Central,Mostly Urban,43.5,43558,26,1,2,6,13,4,10,2,24,3,59.7,2.3,4.6,13.8,29.8,9.2,23,4.6,55.1,6.9
1992,12,23,Clark,5,Southern,Mostly Rural,59.5,19852,12,2,1,3,4,2,5,1,11,NA,60.4,10.1,5,15.1,20.1,10.1,25.2,5,55.4,NA
1992,13,25,Clay,4,Southern,Mostly Rural,64.7,17891,26,7,1,3,15,NA,3,1,25,NA,145.3,39.1,5.6,16.8,83.8,NA,16.8,5.6,139.7,NA
1992,14,27,Clinton,4,Southern,Mostly Urban,48.8,42882,48,14,2,3,23,6,9,4,44,NA,111.9,32.6,4.7,7,53.6,14,21,9.3,102.6,NA
1992,15,29,Coles,5,Central,Mostly Urban,24.3,62712,48,3,1,10,27,7,17,3,45,2,76.5,4.8,1.6,15.9,43.1,11.2,27.1,4.8,71.8,3.2
1992,16,31,Cook,co,Northern - Cook,Completely Urban,0,6449063,11181,3280,75,3801,3612,413,4209,588,10593,348,173.4,50.9,1.2,58.9,56,6.4,65.3,9.1,164.3,5.4
1992,17,33,Crawford,2,Southern,Mostly Rural,60.2,25060,16,3,1,NA,12,NA,NA,1,15,NA,63.8,12,4,NA,47.9,NA,NA,4,59.9,NA
1992,18,35,Cumberland,5,Southern,Completely Rural,100,13662,5,NA,NA,2,1,2,4,NA,5,NA,36.6,NA,NA,14.6,7.3,14.6,29.3,NA,36.6,NA
1992,19,37,DeKalb,23,Northern - Other,Mostly Urban,20.3,96956,57,4,4,10,34,5,15,3,54,1,58.8,4.1,4.1,10.3,35.1,5.2,15.5,3.1,55.7,1
1992,20,39,De Witt,6,Central,Mostly Urban,48.8,20713,22,4,NA,4,14,NA,4,1,21,NA,106.2,19.3,NA,19.3,67.6,NA,19.3,4.8,101.4,NA
1992,21,41,Douglas,6,Central,Mostly Rural,61.6,24615,10,NA,NA,NA,7,3,3,NA,10,NA,40.6,NA,NA,NA,28.4,12.2,12.2,NA,40.6,NA
1992,22,43,DuPage,18,Northern - Collar,Completely Urban,0,1021477,456,106,21,70,246,13,83,61,395,10,44.6,10.4,2.1,6.9,24.1,1.3,8.1,6,38.7,1
1992,23,45,Edgar,5,Central,Mostly Rural,51.8,24141,17,1,1,2,10,3,5,1,16,NA,70.4,4.1,4.1,8.3,41.4,12.4,20.7,4.1,66.3,NA
1992,24,47,Edwards,2,Southern,Completely Rural,100,9085,5,3,NA,NA,1,1,1,NA,5,NA,55,33,NA,NA,11,11,11,NA,55,NA
1992,25,49,Effingham,4,Southern,Mostly Rural,59.7,41259,38,11,3,5,18,1,6,1,37,NA,92.1,26.7,7.3,12.1,43.6,2.4,14.5,2.4,89.7,NA
1992,26,51,Fayette,4,Southern,Mostly Rural,67,25699,21,7,3,2,8,1,3,1,20,NA,81.7,27.2,11.7,7.8,31.1,3.9,11.7,3.9,77.8,NA
1992,27,53,Ford,11,Central,Mostly Urban,41.8,17497,11,NA,NA,1,9,1,2,NA,11,NA,62.9,NA,NA,5.7,51.4,5.7,11.4,NA,62.9,NA
1992,28,55,Franklin,2,Southern,Mostly Urban,48.6,48759,34,5,NA,9,17,3,12,3,31,2,69.7,10.3,NA,18.5,34.9,6.2,24.6,6.2,63.6,4.1
1992,29,57,Fulton,9,Central,Mostly Rural,60,47005,31,1,2,5,21,2,6,NA,31,3,66,2.1,4.3,10.6,44.7,4.3,12.8,NA,66,6.4
1992,30,59,Gallatin,2,Southern,Completely Rural,100,8259,5,1,1,1,2,NA,1,NA,5,NA,60.5,12.1,12.1,12.1,24.2,NA,12.1,NA,60.5,NA
1992,31,61,Greene,7,Central,Mostly Rural,70.8,18830,9,NA,NA,3,5,1,4,NA,9,NA,47.8,NA,NA,15.9,26.6,5.3,21.2,NA,47.8,NA
1992,32,63,Grundy,13,Northern - Other,Mostly Urban,24.4,42530,12,2,1,2,6,1,3,NA,12,1,28.2,4.7,2.4,4.7,14.1,2.4,7.1,NA,28.2,2.4
1992,33,65,Hamilton,2,Southern,Mostly Rural,68.1,10393,6,NA,NA,NA,6,NA,NA,NA,6,NA,57.7,NA,NA,NA,57.7,NA,NA,NA,57.7,NA
1992,34,67,Hancock,9,Central,Mostly Rural,71,26606,19,3,1,1,13,1,2,2,17,NA,71.4,11.3,3.8,3.8,48.9,3.8,7.5,7.5,63.9,NA
1992,35,69,Hardin,2,Southern,Completely Rural,100,6312,5,NA,1,NA,4,NA,NA,NA,5,NA,79.2,NA,15.8,NA,63.4,NA,NA,NA,79.2,NA
1992,36,71,Henderson,9,Central,Mostly Rural,99.7,10149,2,NA,NA,NA,2,NA,NA,NA,2,NA,19.7,NA,NA,NA,19.7,NA,NA,NA,19.7,NA
1992,37,73,Henry,14,Central,Mostly Rural,50.3,63955,66,32,7,5,17,5,10,1,65,NA,103.2,50,10.9,7.8,26.6,7.8,15.6,1.6,101.6,NA
1992,38,75,Iroquois,21,Central,Mostly Rural,71.7,38822,21,4,NA,4,12,1,5,NA,21,NA,54.1,10.3,NA,10.3,30.9,2.6,12.9,NA,54.1,NA
1992,39,77,Jackson,1,Southern,Mostly Urban,37.2,72195,49,13,1,17,13,5,22,NA,49,3,67.9,18,1.4,23.5,18,6.9,30.5,NA,67.9,4.2
1992,40,79,Jasper,4,Southern,Mostly Rural,69.9,13320,8,1,NA,3,3,1,4,NA,8,NA,60.1,7.5,NA,22.5,22.5,7.5,30,NA,60.1,NA
1992,41,81,Jefferson,2,Southern,Mostly Rural,58.8,46698,36,4,2,7,16,7,14,4,32,3,77.1,8.6,4.3,15,34.3,15,30,8.6,68.5,6.4
1992,42,83,Jersey,7,Southern,Mostly Rural,60.6,26238,30,2,6,3,18,1,4,3,27,1,114.3,7.6,22.9,11.4,68.6,3.8,15.2,11.4,102.9,3.8
1992,43,85,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,27268,4,NA,NA,2,1,1,3,NA,4,NA,14.7,NA,NA,7.3,3.7,3.7,11,NA,14.7,NA
1992,44,87,Johnson,1,Southern,Completely Rural,100,13731,20,10,NA,2,6,2,4,1,19,NA,145.7,72.8,NA,14.6,43.7,14.6,29.1,7.3,138.4,NA
1992,45,89,Kane,16,Northern - Collar,Mostly Urban,3.6,427166,424,93,14,126,161,30,153,29,395,19,99.3,21.8,3.3,29.5,37.7,7,35.8,6.8,92.5,4.4
1992,46,91,Kankakee,21,Central,Mostly Urban,24.5,125608,98,18,1,25,48,6,31,5,93,1,78,14.3,0.8,19.9,38.2,4.8,24.7,4,74,0.8
1992,47,93,Kendall,23,Northern - Other,Mostly Urban,10.4,52571,12,4,NA,3,5,NA,3,NA,12,NA,22.8,7.6,NA,5.7,9.5,NA,5.7,NA,22.8,NA
1992,48,95,Knox,9,Central,Mostly Urban,24.3,69000,53,9,2,12,24,6,18,4,49,NA,76.8,13,2.9,17.4,34.8,8.7,26.1,5.8,71,NA
1992,49,97,Lake,19,Northern - Collar,Mostly Urban,1.3,688932,491,114,21,132,188,36,168,34,457,11,71.3,16.5,3,19.2,27.3,5.2,24.4,4.9,66.3,1.6
1992,50,99,LaSalle,13,Northern - Other,Mostly Urban,30.2,134248,85,19,2,15,43,6,21,5,80,2,63.3,14.2,1.5,11.2,32,4.5,15.6,3.7,59.6,1.5
1992,51,101,Lawrence,2,Southern,Mostly Rural,58,19514,7,1,NA,1,4,1,2,NA,7,NA,35.9,5.1,NA,5.1,20.5,5.1,10.2,NA,35.9,NA
