facilities,inmates_positive,inmates_deaths,scrape_date,state,inmates_tested,test_pending,inmates_negative,inmates_pending,daily_total_pop,security_quarantine,medical_quarantine,medical_isolation,staff_positive,staff_recovered,inmates_recovered,staff_negative,staff_deaths,inmates_hospital,inmates_step_down,recovered,inmates_death_underlying_cond,total_deaths
Topeka,0,NA,2020-04-17,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Winfield,0,NA,2020-04-17,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wichita Work Release,1,NA,2020-04-17,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
KJCC,0,NA,2020-04-17,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
​Central Office,NA,NA,2020-04-17,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
​Albion,NA,NA,2020-04-17,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
​Benner Township,NA,NA,2020-04-17,Pennsylvania,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
​Cambridge Springs,NA,NA,2020-04-17,Pennsylvania,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
Camp Hill​,NA,NA,2020-04-17,Pennsylvania,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA
​Chester,NA,NA,2020-04-17,Pennsylvania,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
​Coal Township,NA,NA,2020-04-17,Pennsylvania,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
​Dallas,NA,NA,2020-04-17,Pennsylvania,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
​Fayette,NA,NA,2020-04-17,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA
​Forest,NA,NA,2020-04-17,Pennsylvania,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
​Frackville,NA,NA,2020-04-17,Pennsylvania,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA
​Greene,NA,NA,2020-04-17,Pennsylvania,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
​Houtzdale,0,NA,2020-04-17,Pennsylvania,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
​Huntingdon,NA,NA,2020-04-17,Pennsylvania,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
​Laurel Highlands,NA,NA,2020-04-17,Pennsylvania,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
​Mahanoy,NA,NA,2020-04-17,Pennsylvania,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
​Mercer,NA,NA,2020-04-17,Pennsylvania,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
​Muncy,NA,NA,2020-04-17,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
​Phoenix,22,1,2020-04-17,Pennsylvania,NA,NA,6,NA,NA,NA,NA,NA,13,NA,NA,5,NA,NA,NA,NA,NA,NA
​Pine Grove,NA,NA,2020-04-17,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
​Quehanna Boot Camp,NA,NA,2020-04-17,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
​Retreat,NA,NA,2020-04-17,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,6,NA,NA,NA,NA,NA,NA
​Rockview,NA,NA,2020-04-17,Pennsylvania,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
​Smithfield,NA,NA,2020-04-17,Pennsylvania,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA
​Somerset,NA,NA,2020-04-17,Pennsylvania,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
​Waymart,NA,NA,2020-04-17,Pennsylvania,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,24,NA,NA,NA,NA,NA,NA
​Training Academy,NA,NA,2020-04-17,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
​Parole,NA,NA,2020-04-17,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,NA,NA,NA,NA,NA,NA
Allendale,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
​Broad River,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
​Camille Graham,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Evans,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
​Goodman,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
​Kershaw,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
​Kirkland,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
​Leath,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lee,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lieber,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Livesay,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
MacDougall,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manning,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
McCormick,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palmer,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Perry,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ridgeland,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trenton,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turbeville,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyger River,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wateree River,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Institutional Staff,0,NA,2020-04-17,South Carolina,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Augusta Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Baskerville Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Bland Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Brunswick CCAP,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA
Buckingham Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Caroline Correctional Unit,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Central Virginia Correctional Unit #13,20,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA
Chesterfield Women’s CCAP,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Coffeewood Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Cold Springs CCAP,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Cold Springs Correctional Unit #10,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Deerfield Correctional Center (includes Deerfield Work Centers),0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,0,NA,NA,NA,NA
Dillwyn Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Fluvanna Correctional Center for Women,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Green Rock Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Greensville Correctional Center (includes Greensville Work Center),0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Halifax Correctional Unit,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Harrisonburg Men’s CCAP,2,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Haynesville Correctional Center,5,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA
Haynesville Correctional Unit #17,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Indian Creek Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Keen Mountain Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lawrenceville Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Lunenburg Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Marion Correctional Treatment Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Nottoway Correctional Center (includes Nottoway Work Center),0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Patrick Henry Correctional Unit,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Pocahontas State Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Red Onion State Prison,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
River North Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Rustburg Correctional Unit,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
St. Brides Correctional Center,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Stafford Men’s CCAP,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
State Farm Correctional Complex,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA
Sussex I State Prison,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Sussex II State Prison,12,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA
Virginia Correctional Center for Women (includes State Farm Work Center),20,1,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,4,NA,NA,NA,NA
Wallens Ridge State Prison,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Wise Correctional Unit,0,0,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Probation & Parole — Eastern Region,NA,NA,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Probation & Parole — Central Region,NA,NA,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Probation & Parole — Western Region,NA,NA,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Administration & Operations,NA,NA,2020-04-17,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Airway Heights Corrections Center,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cedar Creek Corrections Center,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clallam Bay Corrections Center,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coyote Ridge Corrections Center,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larch Corrections Center,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mission Creek Corrections Center for Women,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monroe Correctional Complex,11,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olympic Corrections Center,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stafford Creek Corrections Center,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Corrections Center,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Corrections Center for Women,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington State Penitentiary,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other Location*** (Based on location where individual tested positive for COVID-19),NA,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County Jail,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Medical Center,1,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Work Release,NA,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahtanum View Work Release,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bellingham Work Release,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bishop Lewis Work Release,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownstone Work Release,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eleanor Chase House Work Release,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Helen B. Ratcliff Work Release,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Longview Work Release,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olympia Work Release,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peninsula Work Release**,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Progress House Work Release,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reynolds Work Release,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tri-Cities Work Release,0,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Corrections,NA,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Corrections Section 1,NA,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Corrections Section 2,NA,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Corrections Section 3,NA,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Corrections Section 4,NA,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Corrections Section 5,NA,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Corrections Section 6,NA,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Community Corrections Section 7,NA,NA,2020-04-17,Washington,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allen Correctional Center,0,0,2020-04-17,Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,0
B.B. Rayburn Correctional Center,28,0,2020-04-17,Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,0,NA,7,0,0,0
David Wade Correctional Center,0,0,2020-04-17,Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,0,NA,0,0,0,0
Dixon Correctional Institute,1,0,2020-04-17,Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,0,NA,1,0,0,0
Elayn Hunt Correctional Center,5,0,2020-04-17,Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA,0,NA,0,0,0,0
Louisiana Correctional Institute for Women,25,0,2020-04-17,Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,12,1,NA,NA,0,NA,7,0,0,0
Louisiana State Penitentiary,20,0,2020-04-17,Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,23,3,NA,NA,1,NA,8,0,0,0
Raymond Laborde Correctional Center,2,0,2020-04-17,Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,11,5,NA,NA,0,NA,2,0,0,0
Allred,0,NA,2020-04-17,Texas,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baten,3,NA,2020-04-17,Texas,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bell,0,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beto,25,NA,2020-04-17,Texas,NA,NA,14,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd,0,NA,2020-04-17,Texas,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradshaw,0,NA,2020-04-17,Texas,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bridgeport,0,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Briscoe,0,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Byrd,4,NA,2020-04-17,Texas,NA,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clemens,0,NA,2020-04-17,Texas,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clements,4,NA,2020-04-17,Texas,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coffield,0,NA,2020-04-17,Texas,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cole,0,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connally,0,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cotulla,0,NA,2020-04-17,Texas,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crain,0,NA,2020-04-17,Texas,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalhart,0,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel,0,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darrington,2,NA,2020-04-17,Texas,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diboll,0,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominguez,0,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duncan,0,NA,2020-04-17,Texas,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastham,0,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ETTF,0,NA,2020-04-17,Texas,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ellis,0,NA,2020-04-17,Texas,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estelle,4,NA,2020-04-17,Texas,NA,NA,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estes,0,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferguson,0,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Formby,0,NA,2020-04-17,Texas,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Stockton,1,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garza East,0,NA,2020-04-17,Texas,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garza West,0,NA,2020-04-17,Texas,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gist,0,NA,2020-04-17,Texas,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glossbrenner,0,NA,2020-04-17,Texas,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
